,negative_sum,positive_sum,total_sum,sentiment_score,average_score,lda_0,lda_1,lda_2,lda_3,lda_4,lda_5,lda_6,follow>10k,male,in_area,registration<2015,time_interval
2020-02-01,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-02,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-03,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-04,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-06,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-07,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-08,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-09,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-11,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-12,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-13,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-14,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-15,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-16,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-17,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-02-18,0,7,7,5.537746787071228,0.7911066838673183,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.8571428571428571,1
2020-02-19,2,19,21,14.875440791249275,0.7083543233928227,0.0,0.0,0.5238095238095238,0.0,0.47619047619047616,0.0,0.0,0.6190476190476191,0.19047619047619047,0.7619047619047619,0.7142857142857143,1
2020-02-20,2,9,11,7.5651072561740875,0.6877370232885535,0.0,0.0,0.2727272727272727,0.0,0.6363636363636364,0.09090909090909091,0.0,0.45454545454545453,0.6363636363636364,0.9090909090909091,0.6363636363636364,1
2020-02-21,3,11,14,10.102494925260544,0.7216067803757531,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5714285714285714,0.0,0.0,0.7142857142857143,0.5,0.5714285714285714,0.5,1
2020-02-22,33,9,42,22.12326619029045,0.5267444331021536,0.023809523809523808,0.0,0.8333333333333334,0.11904761904761904,0.023809523809523808,0.0,0.0,0.16666666666666666,0.30952380952380953,0.7142857142857143,0.6666666666666666,1
2020-02-23,3,2,5,2.900389812886715,0.580077962577343,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.4,0.8,1.0,0.8,1
2020-02-24,3,4,7,4.813579171895981,0.6876541674137115,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,2
2020-02-25,40,47,87,39.44183092750609,0.4533543784770815,0.011494252873563218,0.011494252873563218,0.47126436781609193,0.022988505747126436,0.28735632183908044,0.11494252873563218,0.0,0.41379310344827586,0.42528735632183906,0.7241379310344828,0.7011494252873564,1
2020-02-26,30,52,82,46.003118528053164,0.5610136405860142,0.024390243902439025,0.024390243902439025,0.2926829268292683,0.036585365853658534,0.4634146341463415,0.07317073170731707,0.012195121951219513,0.3780487804878049,0.4146341463414634,0.6341463414634146,0.5609756097560976,1
2020-02-27,24,64,88,53.969802792184055,0.6132932135475461,0.011363636363636364,0.022727272727272728,0.3522727272727273,0.25,0.25,0.06818181818181818,0.011363636363636364,0.6363636363636364,0.38636363636363635,0.7613636363636364,0.625,1
2020-02-28,24,30,54,27.249874842818826,0.5046273119040523,0.037037037037037035,0.09259259259259259,0.24074074074074073,0.24074074074074073,0.2222222222222222,0.1111111111111111,0.0,0.25925925925925924,0.3888888888888889,0.7037037037037037,0.6666666666666666,1
2020-02-29,22,25,47,23.665997658390552,0.5035318650721394,0.02127659574468085,0.0851063829787234,0.1702127659574468,0.19148936170212766,0.425531914893617,0.0851063829787234,0.0,0.3617021276595745,0.3617021276595745,0.6595744680851063,0.6808510638297872,1
2020-03-01,41,61,102,52.47834346280433,0.5144935633608267,0.28431372549019607,0.09803921568627451,0.20588235294117646,0.029411764705882353,0.22549019607843138,0.0784313725490196,0.029411764705882353,0.4411764705882353,0.45098039215686275,0.7254901960784313,0.6666666666666666,1
2020-03-02,49,121,170,91.74596792040393,0.5396821642376701,0.4470588235294118,0.047058823529411764,0.11176470588235295,0.06470588235294118,0.21176470588235294,0.052941176470588235,0.041176470588235294,0.35294117647058826,0.4823529411764706,0.7058823529411765,0.6294117647058823,1
2020-03-03,40,86,126,74.10414137132466,0.5881281061216243,0.14285714285714285,0.03968253968253968,0.19047619047619047,0.05555555555555555,0.5317460317460317,0.03968253968253968,0.0,0.42857142857142855,0.5158730158730159,0.6666666666666666,0.6111111111111112,1
2020-03-04,64,45,109,40.0859143557027,0.3677606821624101,0.11926605504587157,0.08256880733944955,0.3486238532110092,0.045871559633027525,0.28440366972477066,0.11009174311926606,0.0,0.21100917431192662,0.5871559633027523,0.7798165137614679,0.6513761467889908,1
2020-03-05,60,29,89,29.63461338588968,0.33297318411112,0.10112359550561797,0.056179775280898875,0.449438202247191,0.07865168539325842,0.16853932584269662,0.10112359550561797,0.0,0.2247191011235955,0.5730337078651685,0.7191011235955056,0.7191011235955056,1
2020-03-06,69,25,94,27.01457464066334,0.28738909192195045,0.05319148936170213,0.07446808510638298,0.5531914893617021,0.0851063829787234,0.0851063829787234,0.05319148936170213,0.010638297872340425,0.1595744680851064,0.5957446808510638,0.7127659574468085,0.6702127659574468,1
2020-03-07,107,21,128,25.705419068224728,0.2008235864705057,0.1640625,0.0234375,0.5,0.0546875,0.0390625,0.0546875,0.0078125,0.2109375,0.5546875,0.6953125,0.6328125,1
2020-03-08,34,28,62,25.345765871927142,0.4088026753536636,0.12903225806451613,0.08064516129032258,0.20967741935483872,0.04838709677419355,0.08064516129032258,0.2903225806451613,0.06451612903225806,0.3225806451612903,0.532258064516129,0.5806451612903226,0.46774193548387094,1
2020-03-09,40,27,67,26.97074396861717,0.40254841744204733,0.029850746268656716,0.11940298507462686,0.29850746268656714,0.08955223880597014,0.14925373134328357,0.1791044776119403,0.014925373134328358,0.2537313432835821,0.5074626865671642,0.6268656716417911,0.6567164179104478,1
2020-03-10,30,13,43,13.056377626024187,0.30363668897730667,0.023255813953488372,0.13953488372093023,0.4418604651162791,0.11627906976744186,0.18604651162790697,0.06976744186046512,0.0,0.13953488372093023,0.6511627906976745,0.6511627906976745,0.627906976744186,1
2020-03-11,52,18,70,18.773574134334922,0.2681939162047846,0.05714285714285714,0.22857142857142856,0.3142857142857143,0.07142857142857142,0.07142857142857142,0.11428571428571428,0.02857142857142857,0.1,0.4857142857142857,0.5285714285714286,0.5428571428571428,1
2020-03-12,50,21,71,20.59331051283516,0.29004662694134026,0.08450704225352113,0.056338028169014086,0.5070422535211268,0.014084507042253521,0.15492957746478872,0.028169014084507043,0.028169014084507043,0.22535211267605634,0.6901408450704225,0.5633802816901409,0.6619718309859155,1
2020-03-13,47,40,87,35.91493664262816,0.4128153637083697,0.05747126436781609,0.10344827586206896,0.2413793103448276,0.367816091954023,0.08045977011494253,0.04597701149425287,0.011494252873563218,0.3563218390804598,0.4942528735632184,0.6551724137931034,0.5977011494252874,1
2020-03-14,65,27,92,28.289050285238773,0.3074896770134649,0.09782608695652174,0.13043478260869565,0.3804347826086957,0.05434782608695652,0.15217391304347827,0.09782608695652174,0.021739130434782608,0.15217391304347827,0.44565217391304346,0.6086956521739131,0.6630434782608695,1
2020-03-15,49,22,71,22.232362283859402,0.31313186315294933,0.04225352112676056,0.09859154929577464,0.49295774647887325,0.1267605633802817,0.07042253521126761,0.056338028169014086,0.014084507042253521,0.2112676056338028,0.6197183098591549,0.5070422535211268,0.5774647887323944,1
2020-03-16,43,19,62,18.135007807053626,0.2925001259202198,0.08064516129032258,0.08064516129032258,0.45161290322580644,0.0967741935483871,0.11290322580645161,0.04838709677419355,0.03225806451612903,0.16129032258064516,0.5483870967741935,0.5645161290322581,0.6774193548387096,1
2020-03-17,63,19,82,18.89302142430097,0.23040270029635326,0.10975609756097561,0.12195121951219512,0.3902439024390244,0.036585365853658534,0.18292682926829268,0.06097560975609756,0.012195121951219513,0.08536585365853659,0.5609756097560976,0.5609756097560976,0.6707317073170732,1
2020-03-18,85,28,113,30.081410160288215,0.2662071695600727,0.09734513274336283,0.11504424778761062,0.4424778761061947,0.07079646017699115,0.02654867256637168,0.07964601769911504,0.02654867256637168,0.1415929203539823,0.584070796460177,0.49557522123893805,0.6548672566371682,1
2020-03-19,35,18,53,16.847728613764048,0.3178816719578122,0.07547169811320754,0.11320754716981132,0.2641509433962264,0.11320754716981132,0.1320754716981132,0.16981132075471697,0.0,0.1509433962264151,0.5094339622641509,0.37735849056603776,0.7735849056603774,1
2020-03-20,49,21,70,19.662064601667225,0.28088663716667467,0.1,0.11428571428571428,0.34285714285714286,0.02857142857142857,0.15714285714285714,0.11428571428571428,0.0,0.12857142857142856,0.7,0.4714285714285714,0.5571428571428572,1
2020-03-21,49,14,63,15.409268822986633,0.24459156861883544,0.06349206349206349,0.20634920634920634,0.4126984126984127,0.047619047619047616,0.06349206349206349,0.09523809523809523,0.031746031746031744,0.06349206349206349,0.5555555555555556,0.5873015873015873,0.6031746031746031,1
2020-03-22,43,22,65,25.545381978619844,0.3930058765941514,0.12307692307692308,0.16923076923076924,0.26153846153846155,0.046153846153846156,0.06153846153846154,0.09230769230769231,0.0,0.1076923076923077,0.6153846153846154,0.47692307692307695,0.6,1
2020-03-23,10,15,25,12.96974660642445,0.518789864256978,0.04,0.04,0.28,0.28,0.04,0.08,0.12,0.32,0.68,0.72,0.68,1
2020-03-24,21,15,36,14.267974501475692,0.3963326250409914,0.1111111111111111,0.08333333333333333,0.3055555555555556,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.0,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.7222222222222222,1
2020-03-25,11,29,40,25.8265990014188,0.6456649750354699,0.15,0.0,0.25,0.2,0.275,0.05,0.025,0.45,0.35,0.8,0.725,1
2020-03-26,2,34,36,26.96903091808781,0.7491397477246614,0.1388888888888889,0.0,0.2777777777777778,0.05555555555555555,0.4722222222222222,0.027777777777777776,0.027777777777777776,0.4722222222222222,0.4722222222222222,0.4444444444444444,0.5,1
2020-03-27,6,7,13,6.423686467111111,0.4941297282393162,0.3076923076923077,0.0,0.15384615384615385,0.46153846153846156,0.0,0.0,0.0,0.3076923076923077,0.5384615384615384,0.7692307692307693,0.5384615384615384,1
2020-03-28,9,4,13,4.915185732766986,0.3780912102128451,0.0,0.15384615384615385,0.38461538461538464,0.0,0.38461538461538464,0.0,0.0,0.3076923076923077,0.6153846153846154,0.5384615384615384,0.6153846153846154,1
2020-03-29,3,5,8,4.69394788891077,0.5867434861138463,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.375,0.375,0.875,0.75,1
2020-03-30,4,5,9,4.688975431025028,0.5209972701138921,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
2020-03-31,7,8,15,7.2707611452788115,0.4847174096852541,0.0,0.0,0.13333333333333333,0.6,0.0,0.13333333333333333,0.06666666666666667,0.4666666666666667,0.6,0.6,0.4666666666666667,1
2020-04-01,2,15,17,12.597444484941661,0.7410261461730389,0.058823529411764705,0.0,0.058823529411764705,0.6470588235294118,0.0,0.17647058823529413,0.0,0.5882352941176471,0.5294117647058824,0.7058823529411765,0.5882352941176471,1
2020-04-02,3,9,12,7.972643695771694,0.6643869746476412,0.0,0.0,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.25,1
2020-04-03,10,3,13,4.454526014626026,0.34265584727892506,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.0,0.15384615384615385,0.7692307692307693,0.38461538461538464,0.7692307692307693,1
2020-04-04,5,2,7,2.337297733873129,0.3338996762675898,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.8571428571428571,0.42857142857142855,0.42857142857142855,1
2020-04-05,1,5,6,4.748399794101715,0.7913999656836191,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,1
2020-04-06,2,3,5,2.3624871484935284,0.4724974296987057,0.0,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.4,0.6,0.4,1
2020-04-07,9,3,12,2.661609508097172,0.221800792341431,0.4166666666666667,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.9166666666666666,2
2020-04-08,10,2,12,2.628290745895356,0.219024228824613,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,0.75,0.4166666666666667,0.3333333333333333,1
2020-04-09,3,7,10,6.237234458327293,0.6237234458327293,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.4,0.7,0.7,0.7,1
2020-04-10,4,2,6,1.8797637782990932,0.31329396304984886,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.5,0.5,0.6666666666666666,1
2020-04-11,5,16,21,12.54444888792932,0.5973547089490152,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.6190476190476191,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,1
2020-04-12,3,29,32,22.187697120010853,0.6933655350003392,0.0,0.0,0.0625,0.0,0.90625,0.03125,0.0,0.0625,0.25,0.6875,0.6875,1
2020-04-13,0,6,6,4.706106662750244,0.784351110458374,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5,1
2020-04-14,4,2,6,2.188186085317284,0.36469768088621396,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5,0.5,0.8333333333333334,1
2020-04-15,5,1,6,1.843893276527524,0.30731554608792067,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1
2020-04-16,3,5,8,4.194880328141153,0.5243600410176441,0.125,0.125,0.5,0.125,0.0,0.125,0.0,0.25,0.375,0.75,0.375,1
2020-04-17,2,3,5,2.72574741858989,0.545149483717978,0.0,0.0,0.2,0.4,0.2,0.2,0.0,0.2,0.6,1.0,0.8,1
2020-04-18,5,2,7,1.8463967605493963,0.2637709657927709,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.42857142857142855,0.2857142857142857,0.8571428571428571,2
2020-04-19,9,3,12,3.193829394876957,0.26615244957307976,0.16666666666666666,0.0,0.5833333333333334,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.5,1
2020-04-20,2,3,5,2.5370496378745884,0.5074099275749177,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.6,0.4,0.6,1
2020-04-21,3,0,3,0.5432055070996284,0.18106850236654282,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2
2020-04-22,6,4,10,4.593273155391216,0.45932731553912165,0.2,0.0,0.1,0.1,0.4,0.1,0.1,0.2,0.6,0.5,0.8,3
2020-04-23,3,3,6,2.813196048140526,0.468866008023421,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.5,0.5,0.3333333333333333,0.8333333333333334,1
2020-04-24,1,1,2,0.5611040182411671,0.28055200912058353,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1
2020-04-25,2,3,5,2.734003484249115,0.546800696849823,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.2,0.8,0.4,0.6,2
2020-04-26,1,1,2,0.8940566666424274,0.4470283333212137,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,3
2020-04-27,4,3,7,2.998737722635269,0.4283911032336099,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.5714285714285714,4
2020-04-28,6,1,7,1.6589454989880323,0.2369922141411475,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.5714285714285714,1
2020-04-29,5,14,19,12.573452398180962,0.66176065253584,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.7894736842105263,0.42105263157894735,0.6842105263157895,0.631578947368421,1
2020-04-30,3,17,20,14.43526104092598,0.721763052046299,0.55,0.0,0.05,0.4,0.0,0.0,0.0,0.75,0.45,0.75,0.5,1
2020-05-01,2,13,15,10.388766489923,0.6925844326615334,0.7333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.6666666666666666,0.26666666666666666,0.8666666666666667,0.5333333333333333,1
2020-05-02,4,3,7,3.0733287488110363,0.43904696411586236,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.5714285714285714,1
2020-05-03,21,0,21,1.3129860232584178,0.06252314396468657,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.47619047619047616,0.0,0.09523809523809523,0.0,0.47619047619047616,0.42857142857142855,0.7619047619047619,0.5238095238095238,1
2020-05-04,1,4,5,4.20949512720108,0.8418990254402161,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.2,1
2020-05-05,1,0,1,0.17934374511241913,0.17934374511241913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
